Campaign ID,Campaign Objective,Campaign Name,Campaign Status,Lifetime Spend Limit,Daily Spend Limit,Campaign Order Line ID,Campaign Third Party Tracking Urls,Campaign Budget,Default Ad Group Budget,Campaign Start Date,Campaign Start Time,Campaign End Date,Campaign End Time,Time Zone,Performance+ daily budget,Campaign Keyword (Match Type NEGATIVE_PHRASE),Campaign Keyword (Match Type NEGATIVE_EXACT),Ad Group ID,Ad Group Name,Ad Group Start Date*,Ad Group Start Time,Ad Group End Date*,Ad Group End Time,Ad Group Budget,Ad Group Pacing Type,Ad Group Budget Type,Ad Group Status,Is Creative Optimization,Max Bid,Monthly Frequency Cap,Ad Group Third Party Tracking Urls,Performance+ Targeting,Ad Placement,Goal Value,Conversion Tag ID,Reporting Event,Conversion Event,Conversion Optimization,Click Window Days,Engagement Window Days,View Window Days,Frequency Target Time Range,Frequency Target,Bid strategy type,Targeting Template ID,Promo Ids,Scheduled Budget Adjustment,Locations,Excluded Locations,Geos,Excluded Geos,Genders,AgeBuckets,Minimum Age,Maximum Age,Languages,Devices,Interests,Included Audiences,Excluded Audiences,Dynamic Retargeting Lookback,Dynamic Retargeting Exclusion,Dynamic Retargeting Event Tag Types,Ad Group Keyword (Match Type BROAD),Ad Group Keyword (Match Type EXACT),Ad Group Keyword (Match Type PHRASE),Ad Group Keyword (Match Type NEGATIVE_PHRASE),Ad Group Keyword (Match Type NEGATIVE_EXACT),Existing Pin ID,Media File Name,Pin Title,Pin Description,Organic Pin URL,Image Alternative Text,Is Ad-only Pin,Promoted Pin Status,Promoted Pin ID,Ad Format,Promoted Pin Name,Promoted Pin URL,Promoted Pin Third Party Tracking Urls,Is Removable Pin Promotion,Carousel Card 1 Image File Name,Carousel Card 1 Title,Carousel Card 1 Description,Carousel Card 1 Organic Pin URL,Carousel Card 1 Destination URL,Carousel Card 1 Android Deep Link,Carousel Card 1 iOS Deep Link,Carousel Card 2 Image File Name,Carousel Card 2 Title,Carousel Card 2 Description,Carousel Card 2 Organic Pin URL,Carousel Card 2 Destination URL,Carousel Card 2 Android Deep Link,Carousel Card 2 iOS Deep Link,Carousel Card 3 Image File Name,Carousel Card 3 Title,Carousel Card 3 Description,Carousel Card 3 Organic Pin URL,Carousel Card 3 Destination URL,Carousel Card 3 Android Deep Link,Carousel Card 3 iOS Deep Link,Carousel Card 4 Image File Name,Carousel Card 4 Title,Carousel Card 4 Description,Carousel Card 4 Organic Pin URL,Carousel Card 4 Destination URL,Carousel Card 4 Android Deep Link,Carousel Card 4 iOS Deep Link,Carousel Card 5 Image File Name,Carousel Card 5 Title,Carousel Card 5 Description,Carousel Card 5 Organic Pin URL,Carousel Card 5 Destination URL,Carousel Card 5 Android Deep Link,Carousel Card 5 iOS Deep Link,Collections Secondary Creative Destination Url,Title Card Organic PinID,Card 1 Organic PinID,Card 2 Organic PinID,Card 3 Organic PinID,Card 4 Organic PinID,Quiz pin question 1 text,Question 1 options text,Quiz pin question 2 text,Question 2 options text,Quiz pin question 3 text,Question 3 options text,Result 1 organic Pin ID,Result 1 iOS deep link url,Result 1 Android deep link url,Result 1 destination url,Result 2 organic Pin ID,Result 2 iOS deep link url,Result 2 Android deep link url,Result 2 destination url,Result 3 organic Pin ID,Result 3 iOS deep link url,Result 3 Android deep link url,Result 3 destination url,Grid Click Type,CTA Selection,Keyword Status,Keyword (Match Type BROAD),Keyword (Match Type EXACT),Keyword (Match Type PHRASE),Keyword (Match Type NEGATIVE_PHRASE),Keyword (Match Type NEGATIVE_EXACT),Product Group ID,Product Group Reference ID,Product Group Name,Product Group Status,Tracking Template,Shopping Collections Hero Pin ID,Shopping Collections Hero Pin URL,Slideshow Collections Title,Slideshow Collections Description,Product Group Selected Ad Image Tag,Is Generate Background,Status,Version
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/d0922e/7486979356/il_fullxfull.7486979356_8vpy.jpg,DIY Santa Sleigh & Reindeer Plans | Life-Size Outdoor Christmas Yard Display | Wooden Holiday Decor ,"🎅 Bring the Magic of the North Pole to Your Front Yard!  Create a show-stopping holiday display this year with these comprehensive Santa Sleigh Diy Plans. This isn't just a decoration; it’s a life-size experience. Designed to be sturdy and majestic, this set includes blueprints for both the classic wooden sleigh and the matching reindeer. Whether you are a woodworker looking for a festive project or a family wanting to create the ultimate Outdoor Christmas Diy photo booth for the neighborhood, t",https://www.etsy.com/search?q=DIY%20Santa%20Sleigh%20%26%20Reindeer%20Plans%20%7C%20Life-Size%20Outdoor%20Christmas%20Yard%20Display%20%7C%20Wooden%20Holiday%20Decor%20Blueprint%20%7C%20Digital%20PDF%20Pattern%20Bizilla,,,PAUSED,,STATIC,DIY Santa Sleigh & Reindeer Plans | Life-Size Outdoor Christmas Yard Display | Wooden Holiday Decor Blueprint | Digital PDF Patt,https://www.etsy.com/search?q=DIY%20Santa%20Sleigh%20%26%20Reindeer%20Plans%20%7C%20Life-Size%20Outdoor%20Christmas%20Yard%20Display%20%7C%20Wooden%20Holiday%20Decor%20Blueprint%20%7C%20Digital%20PDF%20Pattern%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/8279a7/7903172592/il_fullxfull.7903172592_8b6w.jpg,DIY Welcome Sign Planter Box Plans PDF | Front Porch Wooden Plant Stand | Hanging Basket Woodworking,"Enhance Your Home's Curb Appeal with a Weekend Woodworking Project  Create a warm, inviting entrance to your home with a beautiful custom woodworking piece you can build yourself. This digital blueprint provides the exact, step-by-step instructions to craft a charming Welcome Sign Planter Box. Combining a spacious plant bed with a tall display post, it is the perfect statement piece to greet your guests at the front door, porch, or garden entrance.  Skip the overpriced, mass-produced garden cent",https://www.etsy.com/search?q=DIY%20Welcome%20Sign%20Planter%20Box%20Plans%20PDF%20%7C%20Front%20Porch%20Wooden%20Plant%20Stand%20%7C%20Hanging%20Basket%20Woodworking%20Blueprint%20%7C%20Garden%20Decor%20Project%20Bizilla,,,PAUSED,,STATIC,DIY Welcome Sign Planter Box Plans PDF | Front Porch Wooden Plant Stand | Hanging Basket Woodworking Blueprint | Garden Decor Pr,https://www.etsy.com/search?q=DIY%20Welcome%20Sign%20Planter%20Box%20Plans%20PDF%20%7C%20Front%20Porch%20Wooden%20Plant%20Stand%20%7C%20Hanging%20Basket%20Woodworking%20Blueprint%20%7C%20Garden%20Decor%20Project%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/8bc1c3/7951117755/il_fullxfull.7951117755_tkpq.jpg,DIY Mud Kitchen Plans PDF | Outdoor Play Kitchen Blueprint | Large Montessori Pretend Play Station |,"Build the Ultimate Outdoor Play Space: The Jumbo 8-Foot Mud Kitchen  Get your kids off the screens and into nature! This comprehensive digital woodworking blueprint provides the exact plans to build a massive, multi-station outdoor mud kitchen. Perfect for siblings, playdates, and Montessori-style sensory play, this durable wooden kitchen will provide years of imaginative, messy fun right in your backyard.  Why buy a flimsy plastic playset when you can build a heavy-duty, beautiful wooden play k",https://www.etsy.com/search?q=DIY%20Mud%20Kitchen%20Plans%20PDF%20%7C%20Outdoor%20Play%20Kitchen%20Blueprint%20%7C%20Large%20Montessori%20Pretend%20Play%20Station%20%7C%20Toddler%20Wooden%20Kitchen%20Build%20Guide%20Bizilla,,,PAUSED,,STATIC,DIY Mud Kitchen Plans PDF | Outdoor Play Kitchen Blueprint | Large Montessori Pretend Play Station | Toddler Wooden Kitchen Buil,https://www.etsy.com/search?q=DIY%20Mud%20Kitchen%20Plans%20PDF%20%7C%20Outdoor%20Play%20Kitchen%20Blueprint%20%7C%20Large%20Montessori%20Pretend%20Play%20Station%20%7C%20Toddler%20Wooden%20Kitchen%20Build%20Guide%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/f7caec/7805098954/il_fullxfull.7805098954_7u27.jpg,DIY Humidor Cabinet Plan | Large Cigar Display Case PDF | Woodworking Blueprint,"Build the Ultimate Large-Capacity Cigar Humidor Cabinet!  Looking for a premium woodworking project that stands out? This comprehensive DIY Humidor Cabinet Plan provides everything you need to build a stunning, professional-grade cigar display case. Perfect for serious cigar aficionados, lounge owners, or any woodworker looking to craft a high-end cigar humidor without paying premium retail prices.  This detailed woodworking blueprint features elegant glass doors, lower storage compartments, and",https://www.etsy.com/search?q=DIY%20Humidor%20Cabinet%20Plan%20%7C%20Large%20Cigar%20Display%20Case%20PDF%20%7C%20Woodworking%20Blueprint%20Bizilla,,,PAUSED,,STATIC,DIY Humidor Cabinet Plan | Large Cigar Display Case PDF | Woodworking Blueprint,https://www.etsy.com/search?q=DIY%20Humidor%20Cabinet%20Plan%20%7C%20Large%20Cigar%20Display%20Case%20PDF%20%7C%20Woodworking%20Blueprint%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/f4fd04/7852756241/il_fullxfull.7852756241_5x7g.jpg,DIY Floor Rocking Chair Plans | Arc Rocking Lounger Blueprint | Oval Rocker Chair PDF,"Experience Ultimate Relaxation with DIY Arc Floor Rocking Chair Plans!  Looking for the perfect ergonomic seat for reading, gaming, or lounging on the porch? Build your own stunning floor rocking chair with our comprehensive woodworking plans. This beautiful arc chair rocker features a unique slatted, curved design that conforms to your body, providing a comfortable, zero-gravity feel. It is the ultimate rocking lounger project to upgrade your living room, reading nook, or backyard deck!  Whethe",https://www.etsy.com/search?q=DIY%20Floor%20Rocking%20Chair%20Plans%20%7C%20Arc%20Rocking%20Lounger%20Blueprint%20%7C%20Oval%20Rocker%20Chair%20PDF%20Bizilla,,,PAUSED,,STATIC,DIY Floor Rocking Chair Plans | Arc Rocking Lounger Blueprint | Oval Rocker Chair PDF,https://www.etsy.com/search?q=DIY%20Floor%20Rocking%20Chair%20Plans%20%7C%20Arc%20Rocking%20Lounger%20Blueprint%20%7C%20Oval%20Rocker%20Chair%20PDF%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/a8632b/7215575837/il_fullxfull.7215575837_alax.jpg,Jewelry Tree Stand DIY Plan | Laser Cut Earring Organizer (Digital Download),"Rescue your jewelry from tangled drawers and display it like a work of art! With this elegant Jewelry Tree Stand DIY plan, you can create a solution that is both highly functional and beautifully decorative for organizing your necklaces, earrings, and bracelets.  Inspired by nature, this tree design offers numerous branches, providing a massive storage capacity for all your favorite accessories, from long necklaces to hoop earrings. Create this stunning organizer with your own laser cutter or CN",https://www.etsy.com/search?q=Jewelry%20Tree%20Stand%20DIY%20Plan%20%7C%20Laser%20Cut%20Earring%20Organizer%20%28Digital%20Download%29%20Bizilla,,,PAUSED,,STATIC,Jewelry Tree Stand DIY Plan | Laser Cut Earring Organizer (Digital Download),https://www.etsy.com/search?q=Jewelry%20Tree%20Stand%20DIY%20Plan%20%7C%20Laser%20Cut%20Earring%20Organizer%20%28Digital%20Download%29%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/bbc821/7853063071/il_fullxfull.7853063071_ta0z.jpg,DIY Lego Table Plans | Kids Activity Table Blueprint PDF | Playroom Toy Storage Organizer |Train Tab,"Build the Ultimate Kids Play & Storage Table!  Tired of stepping on toy bricks? Transform your child's playroom with this comprehensive DIY Lego Table Plan! Designed with both fun and organization in mind, this kids activity table features a recessed top to keep building blocks and train tracks contained, plus built-in lower shelving perfectly sized for standard plastic storage bins.  Whether you want to build a dedicated train table, a craft station, or a playroom toy storage organizer, this de",https://www.etsy.com/search?q=DIY%20Lego%20Table%20Plans%20%7C%20Kids%20Activity%20Table%20Blueprint%20PDF%20%7C%20Playroom%20Toy%20Storage%20Organizer%20%7CTrain%20Table%20Build%20Bizilla,,,PAUSED,,STATIC,DIY Lego Table Plans | Kids Activity Table Blueprint PDF | Playroom Toy Storage Organizer |Train Table Build,https://www.etsy.com/search?q=DIY%20Lego%20Table%20Plans%20%7C%20Kids%20Activity%20Table%20Blueprint%20PDF%20%7C%20Playroom%20Toy%20Storage%20Organizer%20%7CTrain%20Table%20Build%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/7c6223/7913201330/il_fullxfull.7913201330_1b0z.jpg,DIY Chapel Wedding Arch Plans PDF | Wooden Church Arbor Blueprint | Rustic Outdoor Canopy Build Guid,"Bring the Chapel Outdoors: Build a Majestic 3D Church Wedding Arbor  Capture the traditional elegance and architectural grandeur of a church wedding in any outdoor setting. This digital woodworking blueprint provides the exact, step-by-step instructions to build a monumental, 3D Chapel-Style Wedding Arch. Towering at nearly 13 feet tall and spanning 10 feet wide, this pavilion-style structure creates an awe-inspiring, immersive altar that perfectly frames the couple.  Whether you are a wedding v",https://www.etsy.com/search?q=DIY%20Chapel%20Wedding%20Arch%20Plans%20PDF%20%7C%20Wooden%20Church%20Arbor%20Blueprint%20%7C%20Rustic%20Outdoor%20Canopy%20Build%20Guide%20%7C%20Large%20Pavilion%20Trellis%20Woodworking%20Bizilla,,,PAUSED,,STATIC,DIY Chapel Wedding Arch Plans PDF | Wooden Church Arbor Blueprint | Rustic Outdoor Canopy Build Guide | Large Pavilion Trellis W,https://www.etsy.com/search?q=DIY%20Chapel%20Wedding%20Arch%20Plans%20PDF%20%7C%20Wooden%20Church%20Arbor%20Blueprint%20%7C%20Rustic%20Outdoor%20Canopy%20Build%20Guide%20%7C%20Large%20Pavilion%20Trellis%20Woodworking%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
