Campaign ID,Campaign Objective,Campaign Name,Campaign Status,Lifetime Spend Limit,Daily Spend Limit,Campaign Order Line ID,Campaign Third Party Tracking Urls,Campaign Budget,Default Ad Group Budget,Campaign Start Date,Campaign Start Time,Campaign End Date,Campaign End Time,Time Zone,Performance+ daily budget,Campaign Keyword (Match Type NEGATIVE_PHRASE),Campaign Keyword (Match Type NEGATIVE_EXACT),Ad Group ID,Ad Group Name,Ad Group Start Date*,Ad Group Start Time,Ad Group End Date*,Ad Group End Time,Ad Group Budget,Ad Group Pacing Type,Ad Group Budget Type,Ad Group Status,Is Creative Optimization,Max Bid,Monthly Frequency Cap,Ad Group Third Party Tracking Urls,Performance+ Targeting,Ad Placement,Goal Value,Conversion Tag ID,Reporting Event,Conversion Event,Conversion Optimization,Click Window Days,Engagement Window Days,View Window Days,Frequency Target Time Range,Frequency Target,Bid strategy type,Targeting Template ID,Promo Ids,Scheduled Budget Adjustment,Locations,Excluded Locations,Geos,Excluded Geos,Genders,AgeBuckets,Minimum Age,Maximum Age,Languages,Devices,Interests,Included Audiences,Excluded Audiences,Dynamic Retargeting Lookback,Dynamic Retargeting Exclusion,Dynamic Retargeting Event Tag Types,Ad Group Keyword (Match Type BROAD),Ad Group Keyword (Match Type EXACT),Ad Group Keyword (Match Type PHRASE),Ad Group Keyword (Match Type NEGATIVE_PHRASE),Ad Group Keyword (Match Type NEGATIVE_EXACT),Existing Pin ID,Media File Name,Pin Title,Pin Description,Organic Pin URL,Image Alternative Text,Is Ad-only Pin,Promoted Pin Status,Promoted Pin ID,Ad Format,Promoted Pin Name,Promoted Pin URL,Promoted Pin Third Party Tracking Urls,Is Removable Pin Promotion,Carousel Card 1 Image File Name,Carousel Card 1 Title,Carousel Card 1 Description,Carousel Card 1 Organic Pin URL,Carousel Card 1 Destination URL,Carousel Card 1 Android Deep Link,Carousel Card 1 iOS Deep Link,Carousel Card 2 Image File Name,Carousel Card 2 Title,Carousel Card 2 Description,Carousel Card 2 Organic Pin URL,Carousel Card 2 Destination URL,Carousel Card 2 Android Deep Link,Carousel Card 2 iOS Deep Link,Carousel Card 3 Image File Name,Carousel Card 3 Title,Carousel Card 3 Description,Carousel Card 3 Organic Pin URL,Carousel Card 3 Destination URL,Carousel Card 3 Android Deep Link,Carousel Card 3 iOS Deep Link,Carousel Card 4 Image File Name,Carousel Card 4 Title,Carousel Card 4 Description,Carousel Card 4 Organic Pin URL,Carousel Card 4 Destination URL,Carousel Card 4 Android Deep Link,Carousel Card 4 iOS Deep Link,Carousel Card 5 Image File Name,Carousel Card 5 Title,Carousel Card 5 Description,Carousel Card 5 Organic Pin URL,Carousel Card 5 Destination URL,Carousel Card 5 Android Deep Link,Carousel Card 5 iOS Deep Link,Collections Secondary Creative Destination Url,Title Card Organic PinID,Card 1 Organic PinID,Card 2 Organic PinID,Card 3 Organic PinID,Card 4 Organic PinID,Quiz pin question 1 text,Question 1 options text,Quiz pin question 2 text,Question 2 options text,Quiz pin question 3 text,Question 3 options text,Result 1 organic Pin ID,Result 1 iOS deep link url,Result 1 Android deep link url,Result 1 destination url,Result 2 organic Pin ID,Result 2 iOS deep link url,Result 2 Android deep link url,Result 2 destination url,Result 3 organic Pin ID,Result 3 iOS deep link url,Result 3 Android deep link url,Result 3 destination url,Grid Click Type,CTA Selection,Keyword Status,Keyword (Match Type BROAD),Keyword (Match Type EXACT),Keyword (Match Type PHRASE),Keyword (Match Type NEGATIVE_PHRASE),Keyword (Match Type NEGATIVE_EXACT),Product Group ID,Product Group Reference ID,Product Group Name,Product Group Status,Tracking Template,Shopping Collections Hero Pin ID,Shopping Collections Hero Pin URL,Slideshow Collections Title,Slideshow Collections Description,Product Group Selected Ad Image Tag,Is Generate Background,Status,Version
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/b9e21e/7448929887/il_fullxfull.7448929887_mraz.jpg,The Ultimate Custom Grinch Christmas Font SVG Bundle  | Holiday Doodle Alphabet & Lettering Kit (SVG,"💚 The Ultimate Custom Grinch Christmas Font SVG Bundle 🎄 | Holiday Doodle Alphabet & Lettering Kit (SVG, DXF, EPS, PNG)  Product Description: Bring Whoville to Your Crafts!  Get ready for a truly Grinchy Christmas! This massive digital bundle provides everything you need to create personalized, holiday-themed projects with the iconic style of everyone’s favorite holiday rogue. This isn't just a basic font; it's a complete The Grinch Alphabet and Grinch Lettering Cricut Svg kit, perfect for craft",https://www.etsy.com/search?q=The%20Ultimate%20Custom%20Grinch%20Christmas%20Font%20SVG%20Bundle%20%20%7C%20Holiday%20Doodle%20Alphabet%20%26%20Lettering%20Kit%20%28SVG%2C%20Dxf%2C%20Eps%2C%20Png%29%20Bizilla,,,PAUSED,,STATIC,"The Ultimate Custom Grinch Christmas Font SVG Bundle  | Holiday Doodle Alphabet & Lettering Kit (SVG, Dxf, Eps, Png)",https://www.etsy.com/search?q=The%20Ultimate%20Custom%20Grinch%20Christmas%20Font%20SVG%20Bundle%20%20%7C%20Holiday%20Doodle%20Alphabet%20%26%20Lettering%20Kit%20%28SVG%2C%20Dxf%2C%20Eps%2C%20Png%29%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/7fb93a/7245706984/il_fullxfull.7245706984_j7o2.jpg,DIY 13 FT Wooden Windmill Plans: Rustic Farmhouse Yard Decor (Digital Download),"Build a Landmark: DIY 4 Meter (13 FT) Wooden Windmill Plans  Stop searching for Garden Windmill perfection—build it yourself! Give your yard that unique Farmhouse charm with our comprehensive DIY Wooden Windmill Plans. Designed for a magnificent 4 Meter (13 FT) height, this isn't just a decoration; it's a stunning, functional Yard Ornament that will be the focal point of your neighborhood.  Why These Windmill Plans Are Your Best Investment  Our blueprints combine Modern precision with classic Ru",https://www.etsy.com/search?q=DIY%2013%20FT%20Wooden%20Windmill%20Plans%3A%20Rustic%20Farmhouse%20Yard%20Decor%20%28Digital%20Download%29%20Bizilla,,,PAUSED,,STATIC,DIY 13 FT Wooden Windmill Plans: Rustic Farmhouse Yard Decor (Digital Download),https://www.etsy.com/search?q=DIY%2013%20FT%20Wooden%20Windmill%20Plans%3A%20Rustic%20Farmhouse%20Yard%20Decor%20%28Digital%20Download%29%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/b8e77d/7766612088/il_fullxfull.7766612088_pqid.jpg,"Modern S-Shaped Floating Shelf Plans, Woodworking Blueprints (Digital Download)","Elevate Your Decor with Modern DIY S-Shaped Wall Shelf Plans!  Looking to add a contemporary touch to your walls? Build your own stylish and functional display with our comprehensive floating shelf plans. This unique S-shaped asymmetrical design serves as the perfect book shelf plan for small spaces, or a decorative diy wall shelf for your living room, office, or bedroom.  Whether you are looking for diy shelving plans to organize your home or professional bookcase woodworking plans for a weeken",https://www.etsy.com/search?q=Modern%20S-Shaped%20Floating%20Shelf%20Plans%2C%20Woodworking%20Blueprints%20%28Digital%20Download%29%20Bizilla,,,PAUSED,,STATIC,"Modern S-Shaped Floating Shelf Plans, Woodworking Blueprints (Digital Download)",https://www.etsy.com/search?q=Modern%20S-Shaped%20Floating%20Shelf%20Plans%2C%20Woodworking%20Blueprints%20%28Digital%20Download%29%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/0e9c60/7814569595/il_fullxfull.7814569595_19qp.jpg,DIY Outdoor Barstool Plans | Wooden Bar Stool Plans PDF | Counter Height Chair Build Guide,"Build Your Own Professional Outdoor Seating with DIY Barstool Plans!  Looking to complete your home bar, kitchen island, or patio set? Build your own sturdy and stylish seating with our comprehensive bar stool plans. This versatile design includes instructions for two different heights, making it the perfect bar stool plan digital download for both standard bars and kitchen counters.  Whether you are looking for a 2x4 barstool plan to save on costs or a professional bar chair plans guide to upgr",https://www.etsy.com/search?q=DIY%20Outdoor%20Barstool%20Plans%20%7C%20Wooden%20Bar%20Stool%20Plans%20PDF%20%7C%20Counter%20Height%20Chair%20Build%20Guide%20Bizilla,,,PAUSED,,STATIC,DIY Outdoor Barstool Plans | Wooden Bar Stool Plans PDF | Counter Height Chair Build Guide,https://www.etsy.com/search?q=DIY%20Outdoor%20Barstool%20Plans%20%7C%20Wooden%20Bar%20Stool%20Plans%20PDF%20%7C%20Counter%20Height%20Chair%20Build%20Guide%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/444f3e/7151607799/il_fullxfull.7151607799_g50x.jpg,Eucalyptus Funeral Program Template | Celebration of Life (Instant Download),"Editable Funeral Program Template – Celebration of Life | Instant Download | Printable Memorial Service Program  Saying goodbye to someone we love is never easy. In these difficult moments, creating a funeral program that beautifully tells their story can feel overwhelming. This editable funeral program template makes it simple to design a heartfelt celebration of life brochure that honors their memory — without the stress of complicated software.  With this instant download funeral template, yo",https://www.etsy.com/search?q=Eucalyptus%20Funeral%20Program%20Template%20%7C%20Celebration%20of%20Life%20%28Instant%20Download%29%20Bizilla,,,PAUSED,,STATIC,Eucalyptus Funeral Program Template | Celebration of Life (Instant Download),https://www.etsy.com/search?q=Eucalyptus%20Funeral%20Program%20Template%20%7C%20Celebration%20of%20Life%20%28Instant%20Download%29%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/56a183/7913195144/il_fullxfull.7913195144_i5ya.jpg,DIY Wedding Arbor Plans PDF | Wooden Arch Trellis Blueprint | Pergola Ceremony Backdrop | Detachable,"Build a Timeless Focal Point: The Classic Pergola-Style Wedding Arbor  Create a truly enchanting backdrop for your ceremony with a structure built for floral artistry. This digital woodworking blueprint provides the exact instructions to build a heavy-duty, pergola-style wooden wedding arbor. Featuring traditional curved top beams and built-in side trellises, this design is the ultimate canvas for lush greenery, climbing vines, and heavy floral installations.  Whether you are building a permanen",https://www.etsy.com/search?q=DIY%20Wedding%20Arbor%20Plans%20PDF%20%7C%20Wooden%20Arch%20Trellis%20Blueprint%20%7C%20Pergola%20Ceremony%20Backdrop%20%7C%20Detachable%20Outdoor%20Wedding%20Arch%20Woodworking%20Bizilla,,,PAUSED,,STATIC,DIY Wedding Arbor Plans PDF | Wooden Arch Trellis Blueprint | Pergola Ceremony Backdrop | Detachable Outdoor Wedding Arch Woodwo,https://www.etsy.com/search?q=DIY%20Wedding%20Arbor%20Plans%20PDF%20%7C%20Wooden%20Arch%20Trellis%20Blueprint%20%7C%20Pergola%20Ceremony%20Backdrop%20%7C%20Detachable%20Outdoor%20Wedding%20Arch%20Woodworking%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/558c95/7913188550/il_fullxfull.7913188550_gvqq.jpg,DIY Hexagon Wedding Arch Plans PDF | Portable Geometric Arbor Blueprint | Wooden Hexagonal Backdrop ,"Build the Ultimate Modern Centerpiece: The Freestanding Hexagon Wedding Arch  Geometric backdrops are the pinnacle of modern, boho-chic wedding design. This digital woodworking blueprint provides the exact, step-by-step instructions to build a stunning, professional-grade Wooden Hexagon Wedding Arch. Whether you are a DIY couple planning a picturesque outdoor ceremony or an event rental company updating your inventory with high-demand props, this unique arch delivers unparalleled aesthetic appea",https://www.etsy.com/search?q=DIY%20Hexagon%20Wedding%20Arch%20Plans%20PDF%20%7C%20Portable%20Geometric%20Arbor%20Blueprint%20%7C%20Wooden%20Hexagonal%20Backdrop%20%7C%20Boho%20Ceremony%20Alter%20Woodworking%20Bizilla,,,PAUSED,,STATIC,DIY Hexagon Wedding Arch Plans PDF | Portable Geometric Arbor Blueprint | Wooden Hexagonal Backdrop | Boho Ceremony Alter Woodwo,https://www.etsy.com/search?q=DIY%20Hexagon%20Wedding%20Arch%20Plans%20PDF%20%7C%20Portable%20Geometric%20Arbor%20Blueprint%20%7C%20Wooden%20Hexagonal%20Backdrop%20%7C%20Boho%20Ceremony%20Alter%20Woodworking%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
,CONSIDERATION,Bizilla Organic Inventory,PAUSED,,10.00,,,YES,,,,,,America/New_York,,,,,All Products,,,,,,STANDARD,CBO,PAUSED,,0.10,,,,,,,,,,,,,,,AUTOMATIC,,,,[US],,,,[All],[ALL],,,,[All],,,,,,,,,,,,,https://i.etsystatic.com/37058139/r/il/f52f10/7913181244/il_fullxfull.7913181244_fuo0.jpg,DIY 3-Piece Wedding Arch Plans PDF | Tall Church Arch Backdrop | Pointed Wooden Arbor Blueprint | Ru,"Create a Majestic Altar: The 12-Foot Tall 3-Piece Church Arch Blueprint  Set the stage for a breathtaking ceremony with a backdrop that truly captures the grandeur of the moment. This digital woodworking blueprint provides the exact instructions to build a magnificent, towering 3-piece pointed wedding arch set. Often referred to as a ""Church Arch"" or ""House Arch,"" this geometric design features staggering heights—peaking at over 12 feet tall—creating an unforgettable, multi-dimensional altar for",https://www.etsy.com/search?q=DIY%203-Piece%20Wedding%20Arch%20Plans%20PDF%20%7C%20Tall%20Church%20Arch%20Backdrop%20%7C%20Pointed%20Wooden%20Arbor%20Blueprint%20%7C%20Rustic%20Outdoor%20Ceremony%20Woodworking%20Bizilla,,,PAUSED,,STATIC,DIY 3-Piece Wedding Arch Plans PDF | Tall Church Arch Backdrop | Pointed Wooden Arbor Blueprint | Rustic Outdoor Ceremony Woodwo,https://www.etsy.com/search?q=DIY%203-Piece%20Wedding%20Arch%20Plans%20PDF%20%7C%20Tall%20Church%20Arch%20Backdrop%20%7C%20Pointed%20Wooden%20Arbor%20Blueprint%20%7C%20Rustic%20Outdoor%20Ceremony%20Woodworking%20Bizilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulkSheetVersion=V2
